participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669ea82e664a1,level_B,1,19,15,16
669ea83327361,level_A,0,11,4,6
669ea83327361,level_A,1,11,17,18
669ea83561a21,level_B,0,11,0,7
669ea83561a21,level_B,1,11,16,17
669ea838e3f6a,level_C,0,17,0,4
669ea838e3f6a,level_C,1,17,19,20
669ea84d2fead,level_C,0,0,6,12
669ea84d2fead,level_C,1,0,12,12
669ea868641dd,level_B,0,16,0,9
669ea868641dd,level_B,1,16,15,15
669ea8708f846,level_C,0,15,2,4
669ea8708f846,level_C,1,15,19,20
669ea87ace179,level_C,0,15,1,2
669ea87ace179,level_C,1,15,19,22
669ea87c6ef60,level_A,0,8,5,5
669ea87c6ef60,level_A,1,8,18,19
669ea8828ba32,level_B,0,7,1,7
669ea8828ba32,level_B,1,7,17,17
669ea88af131a,level_C,0,5,1,2
669ea88af131a,level_C,1,5,21,22
669ea89ece079,level_A,0,1,2,7
669ea89ece079,level_A,1,1,16,17
669ea8af19bae,level_A,0,19,3,7
669ea8af19bae,level_A,1,19,15,17
669ea8af7e271,level_B,0,5,2,7
669ea8af7e271,level_B,1,5,15,17
669ea8c1a4862,level_A,0,17,4,9
669ea8c1a4862,level_A,1,17,13,15
669ea8c96a3ce,level_A,0,14,4,5
669ea8c96a3ce,level_A,1,14,12,19
669ea8cc70d3e,level_C,0,19,1,3
669ea8cc70d3e,level_C,1,19,20,21
669ea8d3031e8,level_C,0,9,1,3
669ea8d3031e8,level_C,1,9,19,21
669ea8e986bf9,level_B,0,19,0,6
669ea8e986bf9,level_B,1,19,18,18
669ea8fc925b6,level_B,0,2,4,8
669ea8fc925b6,level_B,1,2,16,16
669ea8fd47beb,level_A,0,6,4,8
669ea8fd47beb,level_A,1,6,14,16
669ea9068c927,level_A,0,1,0,5
669ea9068c927,level_A,1,1,19,19
669ea90e3b9c2,level_C,0,3,2,3
669ea90e3b9c2,level_C,1,3,19,21
669ea9105fa73,level_C,0,14,1,2
669ea9105fa73,level_C,1,14,21,22
669ea9132b55c,level_C,0,11,3,4
669ea9132b55c,level_C,1,11,17,20
669ea9179e1c5,level_C,0,18,6,9
669ea9179e1c5,level_C,1,18,12,15
669ea92adfcd7,level_B,0,3,1,5
669ea92adfcd7,level_B,1,3,19,19
669ea942820bd,level_B,0,18,1,5
669ea942820bd,level_B,1,18,18,19
669ea94974ce5,level_A,0,13,1,4
669ea94974ce5,level_A,1,13,20,20
669ea956075c0,level_A,0,15,0,4
669ea956075c0,level_A,1,15,20,20
669ea96eedce4,level_B,0,3,0,10
669ea96eedce4,level_B,1,3,14,14
669ea977e5879,level_C,0,16,2,3
669ea977e5879,level_C,1,16,20,21
669ea978b26ae,level_A,0,14,1,5
669ea978b26ae,level_A,1,14,15,19
